ID;914-11571;914-11571;915-12726;915-12726;1965-15211;1965-15211;1965-15212;1965-15212;1965-15213;1965-15213
Fecha;2022;7;3;;;;;;;
Empresa;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.;KALLPA GENERACION S.A.
Central;C.T. KALLPA;C.T. KALLPA;C.T. LAS FLORES;C.T. LAS FLORES;C.H. CERRO DEL AGUILA;C.H. CERRO DEL AGUILA;C.H. CERRO DEL AGUILA;C.H. CERRO DEL AGUILA;C.H. CERRO DEL AGUILA;C.H. CERRO DEL AGUILA
Equipo;URS-KAL-001;URS-KAL-001;URS-KAL-002 - TG1;URS-KAL-002 - TG1;URS-KALL-003 - G1;URS-KALL-003 - G1;URS-KALL-003 - G2;URS-KALL-003 - G2;URS-KALL-003 - G3;URS-KALL-003 - G3
Fecha / Hora;SetPoint;Estado;SetPoint;Estado;SetPoint;Estado;SetPoint;Estado;SetPoint;Estado
00:00:00;85.159145;1;0;0;139.91;1;173.54;1;66;0
00:00:01;85.159189;1;0;0;142.11;1;171.54;1;66;0
00:00:02;85.1591;1;0;0;142.11;0;171.54;0;66;1
00:00:03;85.09831;1;0;0;142.11;0;171.54;0;66;1
00:00:04;85.09831;1;0;0;142.11;0;171.54;0;66;1
00:00:05;85.09831;1;0;0;144.31;0;169.54;0;68;1
00:00:06;85.09831;1;0;0;144.31;0;169.54;0;68;1
00:00:07;84.99363;1;0;0;144.31;0;169.54;0;68;1
00:00:08;84.99363;1;0;0;144.31;0;169.54;0;68;1
00:00:09;84.99363;1;0;0;146.51;0;167.54;0;70;1
00:00:10;84.99363;1;0;0;146.51;0;167.54;0;70;1
00:00:11;84.8655;1;0;0;146.51;0;167.54;0;70;1
00:00:12;84.8655;1;0;0;146.51;0;167.54;0;70;1
00:00:13;84.8655;1;0;0;148.71;0;165.54;0;72;1
00:00:14;84.8655;1;0;0;148.71;0;165.54;0;72;1
00:00:15;84.73949;1;0;0;148.71;0;165.54;0;72;1
00:00:16;84.73949;1;0;0;148.71;0;165.54;0;72;1
00:00:17;84.73949;1;0;0;150.91;0;163.54;0;74;1
00:00:18;84.73949;1;0;0;150.91;0;163.54;0;74;1
00:00:19;84.61834;1;0;0;150.91;0;163.54;0;74;1
00:00:20;84.61834;1;0;0;150.91;0;163.54;0;74;1
00:00:21;84.61834;1;0;0;153.11;0;161.54;0;76;1
00:00:22;84.61834;1;0;0;153.11;0;161.54;0;76;1
00:00:23;84.48552;1;0;0;153.11;0;161.54;0;76;1
00:00:24;84.48552;1;0;0;153.11;0;161.54;0;76;1
00:00:25;84.48552;1;0;0;155.31;0;159.54;0;78;1
00:00:26;84.48552;1;0;0;155.31;0;159.54;0;78;1
00:00:27;84.34369;1;0;0;155.31;0;159.54;0;78;1
00:00:28;84.34369;1;0;0;155.31;0;159.54;0;78;1
00:00:29;84.34369;1;0;0;157.51;0;157.54;0;80;1
00:00:30;84.34369;1;0;0;157.51;0;157.54;0;80;1
00:00:31;83.9773;1;0;0;157.51;0;157.54;0;80;1
